,name,company,year,Price,kms_driven,fuel_type
424,Audi A6 2.0,Audi,2012,1599000,11500,Diesel
425,Maruti Suzuki Wagon,Maruti,2003,130000,133000,Petrol
426,Maruti Suzuki Wagon,Maruti,2009,159000,27000,Petrol
427,Maruti Suzuki Wagon,Maruti,2009,160000,35000,Petrol
428,Maruti Suzuki Alto,Maruti,2010,110000,55000,Petrol
429,Maruti Suzuki Baleno,Maruti,2016,425000,40000,Petrol
430,Hyundai Verna 1.6,Hyundai,2019,900000,2000,Petrol
431,Maruti Suzuki Swift,Maruti,2009,150000,45000,Petrol
432,Hyundai Getz Prime,Hyundai,2009,110000,20000,Petrol
433,Hyundai Santro,Hyundai,2000,51999,88000,Petrol
434,Hyundai Getz Prime,Hyundai,2009,115000,20000,Petrol
435,Chevrolet Beat PS,Chevrolet,2012,215000,65422,Diesel
436,Ford EcoSport Trend,Ford,2017,580000,10000,Petrol
437,Maruti Suzuki Dzire,Maruti,2013,380000,35000,Petrol
438,Hyundai Fluidic Verna,Hyundai,2013,350000,117000,Diesel
439,Tata Indica V2,Tata,2005,35000,150000,Diesel
440,BMW X1 xDrive20d,BMW,2011,1150000,72000,Diesel
441,Hyundai i20 Asta,Hyundai,2010,300000,10750,Petrol
442,Honda City 1.5,Honda,2009,269000,55000,Petrol
443,Tata Nano,Tata,2013,60000,6800,Petrol
444,Chevrolet Cruze LTZ,Chevrolet,2014,400000,41000,Diesel
445,Hyundai Verna Fluidic,Hyundai,2015,430000,73000,Diesel
446,Maruti Suzuki Swift,Maruti,2011,140000,65000,Diesel
447,Mahindra XUV500 W10,Mahindra,2018,1299000,40000,Diesel
448,Maruti Suzuki Alto,Maruti,2014,199000,37000,Petrol
449,Hyundai Accent GLE,Hyundai,2006,90000,55000,Petrol
450,Force Motors One,Force,2013,550000,140000,Diesel
451,Maruti Suzuki Alto,Maruti,2019,265000,9800,Petrol
452,Chevrolet Spark 1.0,Chevrolet,2011,100000,27000,Petrol
453,Hyundai i10,Hyundai,2009,215000,27000,Petrol
454,Toyota Etios Liva,Toyota,2012,380000,20000,Diesel
455,Renault Duster 85PS,Renault,2013,401919,57923,Diesel
456,Chevrolet Enjoy,Chevrolet,2014,490000,30201,Diesel
457,Maruti Suzuki Alto,Maruti,2017,280000,6200,Petrol
458,BMW 5 Series,BMW,2009,650000,37518,Petrol
459,Toyota Etios Liva,Toyota,2014,160000,24652,Petrol
460,Mahindra Jeep MM,Mahindra,2004,424000,383,Diesel
461,Chevrolet Beat LS,Chevrolet,2016,225000,95000,Diesel
462,Chevrolet Cruze LTZ,Chevrolet,2011,350000,35000,Diesel
463,Jeep Wrangler Unlimited,Jeep,2015,950000,3528,Diesel
464,Maruti Suzuki Ertiga,Maruti,2013,485000,52500,Diesel
465,Hyundai Verna VGT,Hyundai,2010,205000,47900,Diesel
466,Maruti Suzuki Omni,Maruti,2012,160000,14000,Petrol
467,Maruti Suzuki Celerio,Maruti,2018,310000,37000,Petrol
468,Tata Zest Quadrajet,Tata,2017,180000,90000,Diesel
469,Mahindra XUV500 W6,Mahindra,2013,549900,52800,Diesel
470,Tata Indigo CS,Tata,2016,150000,104000,Diesel
471,Hyundai i10 Era,Hyundai,2011,175000,30000,Petrol
472,Tata Indigo eCS,Tata,2014,95000,195000,Diesel
473,Tata Indigo LX,Tata,2016,230000,104000,Diesel
474,Tata Indigo eCS,Tata,2016,230000,104000,Diesel
475,Tata Indigo Marina,Tata,2004,180000,70000,Diesel
476,Hyundai Xcent SX,Hyundai,2015,400000,43000,Diesel
477,Hyundai Eon Magna,Hyundai,2013,185000,23000,Petrol
478,Renault Duster 85,Renault,2015,385000,51000,Diesel
479,Maruti Suzuki Alto,Maruti,2009,90000,62000,Petrol
480,Tata Nano LX,Tata,2010,32000,48008,Petrol
481,Renault Duster 110,Renault,2013,435000,39000,Diesel
482,Maruti Suzuki Wagon,Maruti,2010,225000,40000,Petrol
483,Maruti Suzuki Swift,Maruti,2006,189700,48247,Petrol
484,Maruti Suzuki Ertiga,Maruti,2012,389700,39000,Diesel
485,Maruti Suzuki Swift,Maruti,2014,365000,23000,Petrol
486,Maruti Suzuki Alto,Maruti,2017,360000,9400,Petrol
487,Hyundai i20 Magna,Hyundai,2010,210000,50000,Petrol
488,Hyundai i10 Magna,Hyundai,2009,170000,75000,Petrol
489,Tata Zest XE,Tata,2017,380000,70000,Diesel
490,Mahindra Xylo E8,Mahindra,2009,295000,64000,Diesel
491,Toyota Corolla Altis,Toyota,2010,185000,55000,Petrol
492,Tata Manza Aqua,Tata,2014,160000,200000,Diesel
493,Renault Kwid 1.0,Renault,2018,290000,2137,Petrol
494,Tata Venture EX,Tata,2013,100000,30000,Diesel
495,Maruti Suzuki Swift,Maruti,2014,315000,44000,Petrol
496,Skoda Octavia Classic,Skoda,2006,114990,65000,Diesel
497,Maruti Suzuki Omni,Maruti,2012,120000,160000,LPG
498,Chevrolet Beat Diesel,Chevrolet,2011,125000,56000,Diesel
499,Tata Sumo Gold,Tata,2012,210000,75000,Diesel
500,Hyundai Verna 1.6,Hyundai,2018,855000,42000,Diesel
501,Mahindra Scorpio 2.6,Mahindra,2007,260000,56000,Diesel
502,Maruti Suzuki Zen,Maruti,2002,95000,10544,Petrol
503,Maruti Suzuki Swift,Maruti,2011,255000,64000,Petrol
504,Mahindra Scorpio SLX,Mahindra,2008,300000,70000,Diesel
505,Hyundai Grand i10,Hyundai,2014,340000,25000,Petrol
506,Hyundai Elite i20,Hyundai,2017,550000,15000,Petrol
507,Ford Ikon 1.6,Ford,2003,60000,50000,Petrol
508,Toyota Innova 2.5,Toyota,2011,750000,147000,Diesel
509,Nissan Sunny XL,Nissan,2011,230000,52000,Petrol
510,Chevrolet Beat LT,Chevrolet,2012,130000,90001,Diesel
511,Maruti Suzuki Alto,Maruti,2017,270000,21000,Petrol
512,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
513,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
514,Toyota Innova 2.0,Toyota,2012,600000,80000,Diesel
515,Maruti Suzuki Swift,Maruti,2010,190000,74000,Diesel
516,Hyundai Elite i20,Hyundai,2015,500000,22000,Petrol
517,Mahindra XUV500 W10,Mahindra,2016,1065000,41000,Diesel
518,Volkswagen Polo Trendline,Volkswagen,2015,350000,25000,Diesel
519,Toyota Etios Liva,Toyota,2012,350000,85000,Diesel
520,Mahindra TUV300 T4,Mahindra,2016,540000,29500,Diesel
521,Hyundai Elite i20,Hyundai,2015,470000,30000,Petrol
522,Hyundai Santro Xing,Hyundai,2014,179000,57000,Petrol
523,Maruti Suzuki Zen,Maruti,2003,48000,60000,Petrol
524,Maruti Suzuki Ciaz,Maruti,2016,650000,50000,Petrol
525,Hyundai Eon Era,Hyundai,2013,190000,39700,Petrol
526,Hyundai Elantra 1.8,Hyundai,2012,500000,65000,Petrol
527,Maruti Suzuki Swift,Maruti,2010,270000,67000,Diesel
528,Maruti Suzuki Zen,Maruti,2008,125000,46000,Petrol
529,Hyundai Eon Era,Hyundai,2012,188000,38000,Petrol
530,Hyundai Grand i10,Hyundai,2016,380000,27000,Petrol
531,Hyundai Verna Fluidic,Hyundai,2011,365000,43000,Diesel
532,Ford EcoSport Trend,Ford,2014,465000,47000,Petrol
533,Hyundai i20 Magna,Hyundai,2011,240000,42000,Petrol
534,Chevrolet Beat Diesel,Chevrolet,2016,179999,19336,Diesel
535,Tata Indica eV2,Tata,2015,140000,60105,Diesel
536,Jaguar XF 2.2,Jaguar,2013,2190000,29000,Diesel
537,Audi Q5 2.0,Audi,2014,2390000,34000,Diesel
538,BMW 3 Series,BMW,2011,1075000,35000,Diesel
539,Maruti Suzuki Swift,Maruti,2015,475000,22000,Petrol
540,BMW X1 sDrive20d,BMW,2012,1025000,41000,Diesel
541,Maruti Suzuki S,Maruti,2016,615000,21000,Diesel
542,Maruti Suzuki Ertiga,Maruti,2013,475000,48000,Diesel
543,Maruti Suzuki Alto,Maruti,2016,270000,38000,Petrol
544,Honda City SV,Honda,2014,475000,34000,Diesel
545,Volkswagen Vento Comfortline,Volkswagen,2011,240000,45933,Petrol
546,Honda City 1.5,Honda,2005,120000,68000,Petrol
547,Audi A4 2.0,Audi,2016,1900000,44000,Diesel
548,Mahindra KUV100,Mahindra,2017,360000,35000,Diesel
549,Tata Zest XE,Tata,2018,450000,102563,Diesel
550,Mahindra XUV500 W8,Mahindra,2015,900000,28600,Diesel
551,Maruti Suzuki Swift,Maruti,2017,650000,41800,Diesel
552,Tata Sumo Gold,Tata,2014,275000,116000,Diesel
553,Maruti Suzuki Swift,Maruti,2009,210000,59000,Petrol
554,Mahindra Scorpio 2.6,Mahindra,2004,175000,58000,Diesel
555,Maruti Suzuki Omni,Maruti,2009,85000,45000,Petrol
556,Mitsubishi Pajero Sport,Mitsubishi,2015,1490000,42590,Diesel
557,Renault Duster,Renault,2014,800000,7400,Diesel
558,Volkswagen Jetta Comfortline,Volkswagen,2009,450000,54500,Diesel
559,Maruti Suzuki Ertiga,Maruti,2012,1000000,200000,Diesel
560,Audi A4 2.0,Audi,2013,1510000,27000,Diesel
561,Volvo S80 Summum,Volvo,2015,1850000,42000,Diesel
562,Toyota Corolla Altis,Toyota,2014,790000,29000,Petrol
563,Mitsubishi Pajero Sport,Mitsubishi,2015,1725000,37000,Diesel
564,Chevrolet Beat LT,Chevrolet,2012,135000,36000,Petrol
565,BMW X1,BMW,2011,1000000,34000,Diesel
566,Datsun Redi GO,Datsun,2018,299999,7000,Petrol
567,Mercedes Benz C,Mercedes,2009,1225000,76000,Diesel
568,Mahindra Scorpio SLX,Mahindra,2004,175000,60000,Diesel
569,Volkswagen Vento Comfortline,Volkswagen,2011,200000,95000,Diesel
570,Tata Indigo CS,Tata,2017,270000,50000,Diesel
571,Ford Figo Petrol,Ford,2019,525000,0,Petrol
572,Honda City ZX,Honda,2006,180000,50000,Petrol
573,Maruti Suzuki Wagon,Maruti,2008,140000,68000,Petrol
574,Ford EcoSport Trend,Ford,2014,400000,16000,Petrol
575,Maruti Suzuki Swift,Maruti,2016,499000,51000,Diesel
576,Maruti Suzuki Omni,Maruti,2009,85000,56000,Petrol
577,Maruti Suzuki Zen,Maruti,2004,70000,100000,Petrol
578,Renault Duster RxL,Renault,2015,550000,36000,Petrol
579,Maruti Suzuki Swift,Maruti,2014,370000,11523,Petrol
580,Maruti Suzuki Baleno,Maruti,2018,690000,1000,Petrol
581,Honda WR V,Honda,2009,250000,60000,Petrol
582,Tata Indigo CS,Tata,2016,110000,85000,Diesel
583,Renault Duster 110,Renault,2013,490000,38600,Diesel
584,Mahindra Scorpio LX,Mahindra,2009,320000,95500,Diesel
585,Maruti Suzuki Zen,Maruti,2004,68000,56000,Petrol
586,Maruti Suzuki Wagon,Maruti,2014,130000,37458,Petrol
587,Maruti Suzuki SX4,Maruti,2016,970000,85960,Diesel
588,Audi A3 Cabriolet,Audi,2015,3100000,12516,Petrol
589,Hyundai Eon D,Hyundai,2018,280000,35000,Petrol
590,Maruti Suzuki Zen,Maruti,2009,125000,0,Petrol
591,Mahindra Scorpio SLX,Mahindra,2008,285000,80000,Diesel
592,Hyundai Santro AE,Hyundai,2011,165000,45000,Petrol
593,Maruti Suzuki Swift,Maruti,2009,250000,51000,Diesel
594,Mahindra Xylo D2,Mahindra,2011,390000,48000,Diesel
595,Hyundai Santro,Hyundai,2003,60000,51000,Petrol
596,Chevrolet Beat LT,Chevrolet,2015,215000,90000,Diesel
597,Maruti Suzuki Swift,Maruti,2015,475000,43000,Diesel
598,Mahindra XUV500 W8,Mahindra,2015,899000,53000,Diesel
599,Toyota Fortuner 3.0,Toyota,2013,1499000,97000,Diesel
600,Maruti Suzuki Alto,Maruti,2013,240000,20000,Petrol
601,Hyundai Getz GLE,Hyundai,2007,99000,55000,Petrol
602,Maruti Suzuki Swift,Maruti,2014,260000,120000,Diesel
603,Hyundai Creta 1.6,Hyundai,2019,1200000,0,Petrol
604,Hyundai Santro Xing,Hyundai,2007,115000,46000,Petrol
605,Hyundai Santro Xing,Hyundai,2009,88000,43200,Petrol
606,Mahindra Xylo D2,Mahindra,2011,390000,56000,Diesel
607,Hyundai Santro Xing,Hyundai,2007,135000,42000,Petrol
608,Tata Indica V2,Tata,2009,90000,30600,Diesel
609,Hyundai i10 Sportz,Hyundai,2011,220000,38000,Petrol
610,Hyundai Grand i10,Hyundai,2017,424999,2550,Petrol
611,Hyundai Santro Xing,Hyundai,2007,135000,47000,Petrol
612,Honda City 1.5,Honda,2005,95000,41000,Petrol
613,Nissan Micra XL,Nissan,2017,430000,62500,Diesel
614,Honda City 1.5,Honda,2005,115000,68000,Petrol
615,Maruti Suzuki Alto,Maruti,2015,215000,50000,Petrol
616,Maruti Suzuki Wagon,Maruti,2004,53000,69000,Petrol
617,Maruti Suzuki Ertiga,Maruti,2012,500000,48000,Diesel
618,Tata Indica eV2,Tata,2012,85000,55000,Diesel
619,Maruti Suzuki Omni,Maruti,2013,165000,25000,Petrol
620,Hyundai Eon Era,Hyundai,2014,200000,28400,Petrol
621,Hyundai Eon,Hyundai,2014,200000,28000,Petrol
622,Maruti Suzuki Swift,Maruti,2015,425000,42000,Diesel
623,Hyundai Verna 1.6,Hyundai,2012,600000,29000,Diesel
624,Chevrolet Tavera LS,Chevrolet,2005,130000,68485,Diesel
625,Tata Tiago Revotron,Tata,2018,430000,3500,Petrol
626,Tata Tiago Revotorq,Tata,2019,568500,0,Petrol
627,Maruti Suzuki Zen,Maruti,2006,71000,32000,Petrol
628,Mahindra KUV100 K8,Mahindra,2018,560000,8000,Diesel
629,Ford EcoSport Titanium,Ford,2014,590000,34000,Diesel
630,Hindustan Motors Ambassador,Hindustan,1995,750000,37000,Petrol
631,Ford Fusion 1.4,Ford,2007,125000,85455,Diesel
632,Hyundai Santro Xing,Hyundai,2007,135000,46000,Petrol
633,Hyundai Santro,Hyundai,2002,60000,47000,Petrol
634,Fiat Linea Emotion,Fiat,2009,120000,64000,Petrol
635,Ford Ikon 1.3,Ford,2008,95000,46000,Petrol
636,Maruti Suzuki Omni,Maruti,2017,240000,8000,Petrol
637,Tata Indica V2,Tata,2012,115000,64000,Diesel
638,Mahindra Scorpio S4,Mahindra,2015,795000,63000,Diesel
639,Hyundai Santro Xing,Hyundai,2007,55000,65000,Petrol
640,Mahindra Xylo D2,Mahindra,2009,300000,62000,Diesel
641,Hyundai Grand i10,Hyundai,2014,320000,41000,Petrol
642,Maruti Suzuki Alto,Maruti,2015,265000,14000,Petrol
643,Toyota Corolla,Toyota,2006,160000,40000,Petrol
644,Hyundai Eon Magna,Hyundai,2017,300000,1600,Petrol
645,Tata Sumo Grande,Tata,2010,130000,90000,Diesel
646,Maruti Suzuki Swift,Maruti,2011,250000,58000,Diesel
647,Volkswagen Polo Highline1.2L,Volkswagen,2013,380000,27000,Petrol
648,Maruti Suzuki Alto,Maruti,2003,42000,60000,Petrol
649,Tata Tiago Revotron,Tata,2017,400000,31000,Petrol
650,Maruti Suzuki Swift,Maruti,2009,120000,90000,Diesel
651,Maruti Suzuki Swift,Maruti,2009,120000,90000,Diesel
652,Tata Indigo eCS,Tata,2016,130000,150000,Diesel
653,Chevrolet Beat LS,Chevrolet,2014,189000,31000,Diesel
654,Mahindra Xylo E8,Mahindra,2011,365000,43000,Diesel
655,Hyundai Eon D,Hyundai,2013,170000,20000,Petrol
656,Tata Sumo Gold,Tata,2013,215000,100000,Petrol
657,Tata Nano,Tata,2013,60000,7000,Petrol
658,Hyundai Elite i20,Hyundai,2017,599999,31000,Petrol
659,Hyundai i10 Magna,Hyundai,2009,400000,33000,Petrol
660,Hyundai Creta,Hyundai,2016,900000,60000,Diesel
661,Volkswagen Polo,Volkswagen,2013,299999,48000,Diesel
662,Maruti Suzuki Dzire,Maruti,2014,374999,33000,Petrol
663,Tata Bolt XM,Tata,2015,600000,15000,Petrol
664,Maruti Suzuki Alto,Maruti,2005,70000,47000,Petrol
665,Maruti Suzuki Alto,Maruti,2005,100000,40000,Petrol
666,Maruti Suzuki Ritz,Maruti,2010,150000,38000,Diesel
667,Maruti Suzuki Alto,Maruti,2017,225000,12500,Petrol
668,Maruti Suzuki Dzire,Maruti,2009,210000,42000,Petrol
669,Hyundai i20 Asta,Hyundai,2014,425000,31000,Petrol
670,Maruti Suzuki Swift,Maruti,2008,162000,60000,Diesel
671,Tata Indica V2,Tata,2005,60000,80000,Diesel
672,Mahindra Scorpio VLX,Mahindra,2014,650000,77000,Diesel
673,Toyota Innova 2.5,Toyota,2012,750000,75000,Diesel
674,Mahindra Xylo E8,Mahindra,2010,375000,40000,Diesel
675,Hyundai i20 Magna,Hyundai,2011,230000,47000,Petrol
676,Maruti Suzuki Omni,Maruti,2000,35999,60000,Petrol
677,Mahindra KUV100,Mahindra,2016,380000,26500,Petrol
678,Mahindra KUV100 K8,Mahindra,2019,560000,2875,Petrol
679,Datsun Go Plus,Datsun,2016,285000,13900,Petrol
680,Ford Endeavor 4x4,Ford,2019,2900000,9000,Diesel
681,Tata Indica V2,Tata,2005,39999,80000,Diesel
682,Hyundai Santro Xing,Hyundai,2006,85000,60000,Petrol
683,Maruti Suzuki Wagon,Maruti,2016,395000,20000,Petrol
684,Maruti Suzuki Swift,Maruti,2008,175000,58000,Diesel
685,Maruti Suzuki Alto,Maruti,2019,400000,1500,Petrol
686,Toyota Innova 2.5,Toyota,2011,750000,75000,Diesel
687,Maruti Suzuki Alto,Maruti,2016,250000,2450,Petrol
688,Maruti Suzuki Alto,Maruti,2019,425000,1625,Petrol
689,Volkswagen Polo Highline1.2L,Volkswagen,2017,525000,45000,Petrol
690,Mahindra Logan,Mahindra,2009,130000,65000,Diesel
691,Maruti Suzuki 800,Maruti,2000,30000,33400,Petrol
692,Mahindra Scorpio,Mahindra,2011,475000,60123,Diesel
693,Chevrolet Sail 1.2,Chevrolet,2013,300000,28000,Petrol
694,Hyundai Santro AE,Hyundai,2003,60000,70000,Petrol
695,Maruti Suzuki Wagon,Maruti,2006,100000,7000,Petrol
696,Hyundai Eon,Hyundai,2018,260000,25000,Petrol
697,Tata Manza,Tata,2015,100000,100000,Diesel
698,Toyota Etios G,Toyota,2013,265000,42000,Petrol
699,Toyota Qualis,Toyota,2003,180000,100000,Diesel
700,Hyundai Santro Xing,Hyundai,2004,45000,137495,Petrol
701,Tata Indica eV2,Tata,2016,50500,91200,Diesel
702,Honda City 1.5,Honda,2009,270000,55000,Petrol
703,Tata Zest XE,Tata,2017,290000,120000,Diesel
704,Mahindra Quanto C4,Mahindra,2013,325000,63000,Diesel
705,Tata Indigo eCS,Tata,2016,160000,104000,Diesel
706,Maruti Suzuki Swift,Maruti,2016,350000,146000,Diesel
707,Hyundai Elite i20,Hyundai,2011,290000,40000,Petrol
708,Hyundai i20 Select,Hyundai,2011,290000,40000,Petrol
709,Chevrolet Tavera Neo,Chevrolet,2007,465000,100800,Diesel
710,Maruti Suzuki Dzire,Maruti,2016,325000,150000,Diesel
711,Hyundai Elite i20,Hyundai,2018,510000,2100,Petrol
712,Honda City VX,Honda,2016,860000,95000,Petrol
713,Maruti Suzuki Dzire,Maruti,2016,450000,2500,Diesel
714,Hyundai Getz,Hyundai,2006,125000,80000,Petrol
715,Mercedes Benz C,Mercedes,2006,500001,15000,Petrol
716,Maruti Suzuki Alto,Maruti,2005,95000,65000,Petrol
717,Skoda Fabia,Skoda,2009,110000,45000,Petrol
718,Maruti Suzuki Ritz,Maruti,2011,270000,50000,Petrol
719,Tata Indica V2,Tata,2009,110000,30000,Diesel
720,Toyota Corolla Altis,Toyota,2009,300000,132000,Petrol
721,Tata Zest XM,Tata,2018,260000,27000,Diesel
722,Mahindra Quanto C8,Mahindra,2013,390000,40000,Diesel
